shortname;fullname;category;nome_backup;nome_categoria;imagem_escolhida
EEEFMJACARAIPE_3ªN01-EM-ESP_PROINPAC_INEP32037180_4948_2024;PROJETO DE INTERVENÇÃO/PESQUISA APLICADA À COMUNIDADE;6622;EM_2024_3aN_PROINPAC;INEP32037180 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMVILANOVADECOLARES_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32134010_2650_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32134010 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMVILANOVADECOLARES_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32134010_4260_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32134010 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMHILDEBRANDOLUCAS_2ªM02EJA-EM_2ª ETAPA_PVI1_INEP32040300_4030_2024/1;PRÁTICAS E VIVÊNCIAS INTEGRADORAS I;6622;EJA_EM_2024_1_2aETAPA_PVI1;INEP32040300 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PVI1
EEEFMHILDEBRANDOLUCAS_2ªM02EJA-EM_2ª ETAPA_PVI2_INEP32040300_4030_2024/1;PRÁTICAS E VIVÊNCIAS INTEGRADORAS II;6622;EJA_EM_2024_1_2aETAPA_PVI2;INEP32040300 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PVI2
EEEFCORREGODASARARAS_5ªA8ªMULTIN01-EJA-EF_7ª ETAPA_PIPAT_INEP32008007_313_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32008007 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMPROFESSORAINAHWERNECK_1ªN02-EJA-EM_1ª ETAPA_PIPAT_INEP32052340_3701_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32052340 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMMARIAPENEDO_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32036191_889_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32036191 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMGERMANOANDRELUBE_7ªN01-EJA-EF_7ª ETAPA_PIPAT_INEP32037171_1132_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32037171 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMLIONSSEBASTIAOPAIVAVIDAURRE_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32052405_3567_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32052405 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMJACARAIPE_2ªN01-EM-ESP_PV_INEP32037180_4050_2024;PROJETO DE VIDA;6622;EM_2024_2aN_PV;INEP32037180 / ENSINO MÉDIO / 2024;EM_PV
EEEFMJACARAIPE_2ªN02-EM-ENE_PROINPAC_INEP32037180_4517_2024;PROJETO DE INTERVENÇÃO/PESQUISA APLICADA À COMUNIDADE;6622;EM_2024_2aN_PROINPAC;INEP32037180 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMCORREGODALAPA_5ªA8ªMULTIN01-EJA-EF_8ª ETAPA_PIPAT_INEP32007981_1062_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32007981 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMJACARAIPE_2ªN02-EM-ENE_PROINPAC_INEP32037180_4517_2024;PROJETO DE INTERVENÇÃO/PESQUISA APLICADA À COMUNIDADE;6622;EM_2024_2aN_PROINPAC;INEP32037180 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMVILANOVADECOLARES_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32134010_6054_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32134010 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMSAOJOAOBATISTA-CARIACICA_3ªV01-EJA-EM_3ª ETAPA_PVI1_INEP32034040_6804_2024/1;PRÁTICAS E VIVÊNCIAS INTEGRADORAS I;6622;EJA_EM_2024_1_3aETAPA_PVI1;INEP32034040 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PVI1
EEEFMSAOJOAOBATISTA-CARIACICA_3ªV01-EJA-EM_3ª ETAPA_PVI2_INEP32034040_6804_2024/1;PRÁTICAS E VIVÊNCIAS INTEGRADORAS II;6622;EJA_EM_2024_1_3aETAPA_PVI2;INEP32034040 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PVI2
